"","Hepatocytes_1","Hepatocytes_2","Endothelial","Kupffer","Stellate","Cholangiocyte","T_cell"
"IGHA1",0.166988084203956,0.291653433312976,0.473664478395897,0.197513174567579,0.558508088975563,0.227535455721867,0.176165649332145
"MEI4",0.0537791962664908,0.0231125741167569,0.0477769373883145,0.0239562722901701,0.032343021409237,0.0223350181498753,0.0327680695275941
"POSTN",0.00624696448095102,0.0134362600568692,0.108907453109557,0.00909430095160378,0.0570134746559566,-0.0012896788577271,0.0137470711314865
"ACSL4",0.0926775510352182,0.318144027859483,0.593417644498056,0.923576608574902,0.48320520122914,0.321255948474832,0.496853840973725
"ADARB2",0.0289859285693457,0.0263158655814006,0.318529957339737,0.0124942233639394,0.0412903000924004,0.0247294094858308,0.0531989315784798
"CYP3A7-CYP3A51P",0.0797722187160041,0.241788957083902,0.0776598945626227,0.0992777122799909,0.0682396949089674,0.0505519521019285,0.110727372988042
"COL15A1",0.00776387860388267,0.0103051214329397,0.0181992034336429,0.010964499515365,0.144706733597872,0.00326378021946759,-0.00014320726414573
"RUNX1",0.802401397284269,0.599761223133685,0.456122062430786,2.99827758649994,1.16550890155797,7.44259692464682,6.92457358165982
"PTPRB",0.450356472693097,0.600355767938963,16.46738177527,0.408306665520456,0.61435925834527,0.480460372966299,0.579971796166
"ADAMTS6",0.0994231901102326,0.051382673647668,0.405910158380368,0.099476896501381,0.0499317564645543,0.175768246522417,0.284638228578005
"GPM6A",0.458413522879085,0.439721451082898,10.1529984717812,0.278482121855991,2.8058061140952,0.276851560700161,0.27020655720414
"LRP1B",0.507429385931453,0.202860698790565,0.0947313469050875,0.140495324857805,0.269412827790349,0.38394619437972,0.0772119184893057
"CCL4",0.00777298278653078,0.0146466980520822,0.0417170070341911,0.095400317683724,0.0106206774169391,0.00751760549327159,0.328932302874598
"ANXA4",1.95570816796939,1.40143400884715,0.784931339580219,1.2105641689352,1.11671561690279,26.9291648082373,0.908686595246768
"PLXDC2",1.42207019757433,1.10662710907806,5.82533079062876,12.3610259033485,4.89194409333385,0.698408742633667,0.664867207386216
"FBXL7",0.610890166926544,0.61453056437067,14.2519818308603,0.369263579181497,3.89672425409406,0.424533336323337,0.313788413938551
"HBB",0.201467173011603,0.662567836595833,0.543630707055785,0.558918143205142,0.257204643111255,0.213930187907422,1.07570023266953
"FP236383.1",427.23391819674,528.671936199279,319.449323544698,548.245359291861,435.88227683878,294.245182156451,435.472595259073
"MEIS2",2.57888748552835,1.77723572516198,19.1572264297322,0.539674580681267,5.84299116664203,5.26750727643569,0.591024904598796
"PTGDS",0.0355751856351461,0.0971637495042422,0.0546511675534487,0.0219491384485738,0.256271857720849,0.0324603020181214,0.0485970431876997
"SCTR",0.144084675813604,0.0675972270966605,0.116533869743368,0.0251730304530436,0.0203962782437027,0.477086659006163,0.0586290168980147
"TIMP3",0.438583794087838,0.499320131720384,3.94622536345427,0.218385111083914,2.97599274598315,0.326247724521568,0.364931211886622
"AC010967.1",0.0159956538117251,0.0139739229516654,0.0187151214824254,0.0160495785824564,0.00399962390970748,0.260810259105632,0.855604210683086
"PI15",-0.000135908359954026,0.000623786097690163,0.00652772491903726,-7.36030157697497e-05,0.000923434291462158,0.00248575797168039,0.00784545624941291
"CXCL3",0.00370361760898036,0.0121408718001334,0.00700963091709413,0.0880937026657794,0.0014228508748752,0.0695568846365171,0.0192695500475808
"PLPP3",1.99954869286422,1.67582545429061,18.4889630066691,0.921480057038579,1.03509129328611,1.21625916338085,0.4771292602556
"AL138828.1",0.346321289368495,0.557001847890433,0.474212037507682,0.145733239299016,0.266591605799114,0.135714318283038,0.102834889714909
"THBS1",0.117108836207477,0.298155484437706,0.15401017430646,0.351257654226204,2.09931729497598,0.0775485125584292,0.229017213630466
"MMP12",0.000395240035065114,0.00456577781892875,0.00259876108295891,0.0209565900797392,0.000978064251731893,0.00347904452512153,0
"CXCL8",0.030402330602154,0.193723730878032,0.132218990435426,0.0785251887433903,0.0346322745706146,0.141241766749373,0.0582561220512286
"RORB",0.00788681630471255,0.00858846204928995,0.000562623963491805,0.00128784059751102,0.214157322380764,0.0171611191711508,-0.00526030929113971
"LIFR",0.45163440477314,0.523569395589343,8.17928183024074,0.260550566079287,4.77378505009458,0.23168171451491,0.301549722087757
"IGFBP7",0.429618623553629,0.659374587455477,1.49742224245166,0.540893278435836,7.19764444818443,0.317926192787632,0.440801842298763
"IL1RL1",0.00772972671089743,0.00890903359810283,0.0666402392343829,0.0343335461860238,0.0880683601129568,0.0502227360703457,0.0425153754363996
"ARHGAP15",0.5908307677965,0.469814180087928,0.650742554959777,7.71909988349866,7.78840364425519,0.351008080647192,22.1192197119326
"PTPRT",0.24645408170425,0.169902419957726,3.93259756781828,0.104413617682347,0.630906541613092,0.145957063916851,0.0774858591973317
"AC003991.1",0.0389008901850954,0.205450540226752,0.0670470031478401,0.0501708355152405,0.123924365667066,0.0500682836146749,0.0457890055901634
"AC011511.2",0.0302954641154248,0.139188589232852,0.0363233158930619,0.0801133240278651,0.040777329311266,0.070753067294489,0.0845037498736139
"PRRX1",0.00306956404855365,0.00411517927546848,0.00623227412319555,0.0130916084308424,0.15863537797286,0.00381941723344425,0.0130812340931693
"EXT1",5.86401468500187,3.96457036347003,2.65333422261695,9.11563441003899,10.8489307528025,11.5849456000398,2.47925200433531
"KCNAB1",0.0784507175545711,0.0611328983527003,0.0395908964401861,0.455375401442602,0.365033945998125,0.0522339332695719,0.00639701833176443
"AC093895.1",0.0230046909927838,0.0109225877763283,0.0294278944784507,0.165330670243971,0.0299481558802156,0.0122420478074239,0.00683949373027905
"DSCAML1",0.303440927410679,0.15049441602339,1.15845450564936,0.101627031151829,1.48953470944087,10.8142828721049,0.0552010885521965
"LINC00342",0.0150036551834275,0.0115394560591711,0.0319634338593615,0.0106745621982322,0.0730774425430295,0.0884910159690561,0.073716326934943
"FMNL2",0.570493402163988,0.665160193210993,3.66198868592488,13.6328922267408,1.28166760391956,0.976889063430197,0.252544423686085
"LINC02147",0.0211990084438895,0.0140183657166955,0.0729534321493319,0.0246773220444211,0.042140808026039,0.0313074113811922,-6.59462319502437e-05
"PAK3",0.104490234460196,0.077290604941162,0.060159210448615,0.0325819378752776,0.0834541347282536,4.22522843662298,0.0739587728769715
"CMAHP",0.516708551625027,0.5180891667657,2.02152769804225,10.2089202712938,2.68938611243368,0.420640516520165,0.301811245374528
"KHDRBS2",0.033706628553676,0.034308655426622,0.475533467398265,0.128902249358377,0.0242859556404285,0.0336997067226741,0.0163710257340407
"LINC00443",0.00241639484755006,-0.000703462970369462,0.00137296752115232,-0.000131707950963127,-0.000809359552234592,-0.000145876495815837,0
"DIRC3",0.299977371911782,0.166018619938655,0.306262615789479,5.75805290159105,0.957570160985188,0.133612412582747,0.651897104442945
"PTGR1",9.52382249664911,8.63232913253992,1.84834178613223,2.15491336125096,2.57436245471486,3.32870851337657,2.03577280468019
"ACTA2",0.198222245533115,0.227426982591097,0.275367306297956,0.183296065942761,3.38768381613683,0.0947526689074063,0.333788929783212
"ASPM",0.0438844464379355,0.0703846470437661,0.0167657728203894,0.0710464413219389,0.0304963994441874,0.0152040059033286,0.0367934079159719
"AREG",0.00109117534774104,0.00791582671805538,0.023308711449969,0.0452078782391956,0.00862280775420997,0.0161328338347881,0.0945126913002674
"EPHA6",0.0561800017901638,0.024876398989811,0.0221362507328229,0.050538000848009,0.0381390770668952,0.459467389420765,0.094040152323966
"NTN4",0.633453268122774,0.599222317360302,7.64142556319787,0.221509122858646,0.409928499110278,1.65862779891999,0.189720088672559
"AGBL1",0.0523324573810212,0.0490497458464936,0.0535359489299145,0.065700917040125,0.106897640674973,0.0249285600056614,0.0345484439683711
"AC016205.1",0.0243539299646644,0.0547104980534144,0.028764654040656,0.0277713185030147,0.0291945980538531,0.0715215982482408,0.0339188217977431
"AC010737.1",0.265179629044753,0.303401511321997,10.0699817633833,0.221568532126743,0.214633197942498,0.0898237314098137,0.146629900727956
"PDGFRA",0.129078392191899,0.08121773956871,0.0782319902684926,0.0821573043581172,4.41908847925227,0.0698227352001539,0.0904761251586655
"CRHBP",0.159427528211232,0.201643802041112,4.89787930930969,0.111487718928823,0.12439296730336,0.0263292965281314,0.0984134072862902
"GDNF",0.00859088979299659,0.00726402428017951,0.0274738185100329,-3.91347045042528e-05,0.0614019749334107,0.00194091522468411,-9.96957089470089e-05
"FP671120.1",581.845321492899,699.143048004219,476.579905091199,664.175968494561,648.343693263515,424.319783382754,599.129247255847
"KALRN",1.13781639141484,1.112061802074,16.2351658050706,0.564944627718198,5.32430663527482,1.69903277136767,0.407865450544191
"LRP2",0.0372948359094253,0.11134511271279,0.0321650601676189,0.0642449323073319,0.0419813498988622,0.0988767988687625,0.0203733283922767
"SMAD6",0.482465456393208,0.368883583582521,6.61495885424344,0.741022431719342,1.53155343079627,0.392176798746334,0.0997434411667266
"CASC9",0.00800833195453042,0.0162200703748549,0.00420864592222555,-0.000716543843194336,-0.000609694157790341,0.0189078737236874,-0.000367407267407858
"ZEB2",0.875686467045078,0.74956728997362,3.2366561715791,11.9846460159434,12.4330035415392,0.345827092274026,2.42179689990763
"AC096711.3",0.0128917173654469,0.00279110524328849,0.00101244976836402,0.00581101457781574,0.00430567335414981,0.000814013095775201,0.0505492640258675
"MUC5B",0.0089932014121357,0.0455113409443834,0.0101530733149723,0.0365837005776891,0.0318512912019094,0.152500394606284,0.0474815380273709
