"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MBNL2",5.52063062570457e-07,0.340316492425979,0.354,0.659,0.00110412612514091
"NPIPB5",2.05612292559293e-06,0.444148447422269,0.554,0.989,0.00411224585118586
"AL583836.1",5.24304673889116e-06,0.500401171326775,0.453,0.878,0.0104860934777823
"EXT1",6.76225685340367e-06,0.456743133373382,0.497,0.8,0.0135245137068073
"AC131392.1",7.99610493895454e-06,-0.358913631853029,0.166,0.597,0.0159922098779091
"FOXP1",1.82818540553961e-05,0.609879375532174,0.521,0.812,0.0365637081107922
"DOCK4",2.43216901125049e-05,0.39341022697624,0.32,0.756,0.0486433802250098
"NR1H4",2.82190046268504e-05,0.427138861623367,0.459,0.898,0.0564380092537008
"AC004160.1",0.000608415368892093,0.750530335565232,0.517,0.996,1
"LPGAT1",0.000622372493681137,0.310574872841912,0.167,0.63,1
"MYOM1",0.000661539300345007,-0.423740458226146,0.059,0.554,1
"AKT3",0.00245840486611784,0.325310985025682,0.076,0.517,1
"GPM6A",0.00278738460071962,0.289710688593943,0.056,0.551,1
"GNA14",0.00578427898508072,0.277230840503838,0.069,0.556,1
"GRK5",0.0124003657526195,0.382130272409917,0.085,0.526,1
"PCSK6",0.0207623872735533,0.320256151536813,0.492,0.802,1
"PARD3",0.0318739197953227,0.627885846215929,0.557,0.924,1
"AC146944.1",0.0434353163112474,-0.306411787981886,0.187,0.597,1
"HPR",0.124797550609046,0.537437728107744,0.182,0.575,1
"GUSBP9.1",0.141154613935366,-0.377710376473848,0.198,0.563,1
"BTBD9",0.14907930468461,0.403585685224712,0.172,0.585,1
"PNPLA3",0.310512778750966,0.503288495383763,0.293,0.672,1
"ALDH1A2",0.365105112874739,0.308100145597302,0.659,0.997,1
"EGFR",0.425674682072407,0.261087287650599,0.51,0.85,1
"AP000317.2",0.440023449153557,0.262150288263301,0.082,0.538,1
"MEIS1",0.527750279907425,0.324584087450405,0.061,0.527,1
"SKAP1",0.591037997093761,0.264650983740726,0.1,0.549,1
"RBPMS",0.606898452275234,0.346740609727074,0.356,0.722,1
"PPARG",0.658972013114742,0.283239900894111,0.11,0.563,1
"SLC8A1",0.925953520617655,0.288655792834594,0.075,0.54,1
